"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"6879",0,2.4657220063398,0.296,0.029,0,"14","TNRC6C-AS1"
"6880",0,2.1381739913104,0.36,0.094,0,"14","TAFA4"
"6881",0,2.90537534729196,0.32,0.055,0,"14","AC061958.1"
"6882",0,2.27773044760847,0.317,0.055,0,"14","LLGL2"
"6883",0,2.44758867457645,1,0.739,0,"14","QKI"
"6884",0,2.62940201987468,0.285,0.024,0,"14","TMEM273"
"6885",0,2.54057270473776,0.309,0.051,0,"14","LINC02821"
"6886",0,2.07421531659823,0.325,0.069,0,"14","TMEM9B-AS1"
"6887",0,2.88647872116125,0.274,0.021,0,"14","LINC02473"
"6888",0,3.40744606888512,0.263,0.014,0,"14","AP001360.3"
"6889",0,2.00556381436473,1,0.752,0,"14","FMNL2"
"6890",0,4.49192514995564,0.265,0.017,0,"14","LINC02511"
"6891",0,2.79685061089352,0.281,0.034,0,"14","LLGL1"
"6892",0,2.03112652794697,0.354,0.107,0,"14","TTLL9"
"6893",0,2.52723092546762,0.27,0.026,0,"14","TMEM125"
"6894",0,2.3337015659004,0.278,0.036,0,"14","PI16"
"6895",0,3.33057829002492,0.267,0.031,0,"14","MBOAT1"
"6896",0,2.25694329123222,0.292,0.056,0,"14","GDNF-AS1"
"6897",0,2.19599853274359,0.311,0.077,0,"14","AC073342.1"
"6898",0,2.47041456510066,0.265,0.033,0,"14","PTCSC3"
"6899",0,2.38571763031074,0.263,0.031,0,"14","AP000688.2"
"6900",0,2.61521695466235,0.251,0.024,0,"14","USH1C"
"6901",0,2.2340824658803,0.331,0.109,0,"14","AC012459.1"
"6902",0,2.11938547789306,0.276,0.054,0,"14","FIRRE"
"6903",0,2.44589531565027,0.247,0.026,0,"14","CLCA4"
"6904",0,3.39884632900349,0.228,0.015,0,"14","AC105941.1"
"6905",0,2.99969080063625,0.229,0.016,0,"14","AC020909.2"
"6906",0,2.23391500490195,0.314,0.104,0,"14","LINC01182"
"6907",0,2.50342367945994,0.252,0.047,0,"14","LINC01137"
"6908",0,3.05151475159088,0.22,0.016,0,"14","LINC02199"
"6909",0,2.01351424274459,0.264,0.06,0,"14","AC107375.1"
"6910",0,2.43847128128291,0.293,0.09,0,"14","MAGEC3"
"6911",0,2.08771794643118,1,0.802,0,"14","IL1RAPL1"
"6912",0,2.07564776926997,0.249,0.055,0,"14","RAB6C-AS1"
"6913",0,2.77401347845659,0.214,0.022,0,"14","CPB1"
"6914",0,2.04441886399411,0.243,0.053,0,"14","AC011416.4"
"6915",0,3.74549072977921,0.198,0.009,0,"14","HAGLR"
"6916",0,3.07256929887132,0.225,0.037,0,"14","KANK4"
"6917",0,2.188005941467,0.241,0.053,0,"14","PACRG-AS3"
"6918",0,2.27572650929393,0.275,0.091,0,"14","AC092939.1"
"6919",0,2.36028962755995,0.213,0.029,0,"14","GJC2"
"6920",0,2.18170131727099,0.4,0.218,0,"14","ABCA6"
"6921",0,2.14968851412832,0.206,0.027,0,"14","AL133325.3"
"6922",0,2.56134576604754,0.213,0.037,0,"14","CCNE2"
"6923",0,2.04818244866736,0.255,0.079,0,"14","TRIM16L"
"6924",0,2.27866329635946,0.202,0.028,0,"14","LINC01299"
"6925",0,2.85672099049553,0.189,0.015,0,"14","SLC5A11.1"
"6926",0,2.69904688745908,0.19,0.018,0,"14","IP6K3"
"6927",0,2.37245318110369,0.211,0.04,0,"14","FAM53A"
"6928",0,2.18265423311593,0.204,0.033,0,"14","CHST6"
"6929",0,2.89247867948003,0.183,0.012,0,"14","S1PR5"
"6930",0,2.12034509030578,0.205,0.035,0,"14","AC093503.3"
"6931",0,2.35458170619693,0.189,0.02,0,"14","GPIHBP1"
"6932",0,3.0515887050649,0.188,0.02,0,"14","AL512506.3"
"6933",0,3.32711976652814,0.181,0.013,0,"14","AC023787.2"
"6934",0,2.73526214192414,0.191,0.025,0,"14","CT69"
"6935",0,2.38246802232812,0.212,0.046,0,"14","BVES-AS1"
"6936",0,2.75143799968787,0.197,0.033,0,"14","AC008945.2"
"6937",0,2.89545295990816,0.178,0.014,0,"14","NIPAL4"
"6938",0,3.00536057466947,0.18,0.016,0,"14","POU2AF1"
"6939",0,2.51353084892012,0.203,0.04,0,"14","LINC01949"
"6940",0,2.28412780380339,0.185,0.022,0,"14","AL160269.1"
"6941",0,2.95736645162646,0.186,0.024,0,"14","AC025180.1"
"6942",0,2.00703891760485,0.231,0.069,0,"14","USP32P3"
"6943",0,2.61926647550598,0.197,0.039,0,"14","AL035670.1"
"6944",0,3.00978716021289,0.168,0.012,0,"14","AC008505.1"
"6945",0,2.21856892976825,0.189,0.035,0,"14","TMEM246-AS1"
"6946",0,2.35861906991803,0.17,0.017,0,"14","EVI2A"
"6947",0,2.30725566448607,0.185,0.035,0,"14","MBNL3"
"6948",0,2.35497277563132,0.19,0.043,0,"14","AC091912.3"
"6949",0,2.11458671217875,0.197,0.05,0,"14","LINC00032"
"6950",0,2.09843363529822,0.179,0.032,0,"14","AMOTL2"
"6951",0,3.84810714541396,0.153,0.006,0,"14","AL162391.1"
"6952",0,2.01903340408633,0.188,0.041,0,"14","RYBP.1"
"6953",0,2.07515703678479,0.17,0.024,0,"14","FMO4"
"6954",0,2.10546484622865,0.166,0.02,0,"14","PLAC9P1"
"6955",0,2.60556812974543,0.183,0.041,0,"14","PLS3-AS1"
"6956",0,2.42787900507692,0.161,0.02,0,"14","PACRG-AS1"
"6957",0,2.87471134473314,0.152,0.011,0,"14","GPR62"
"6958",0,3.00820156960021,0.151,0.01,0,"14","SMIM5"
"6959",0,3.46972358655035,0.149,0.01,0,"14","DNAH17-AS1"
"6960",0,2.10086887199252,0.182,0.045,0,"14","AC114956.2"
"6961",0,2.63339700186553,0.173,0.036,0,"14","MND1"
"6962",0,3.05134230935304,0.15,0.013,0,"14","C21orf91-OT1"
"6963",0,2.23316581899962,0.173,0.037,0,"14","BVES"
"6964",0,2.92205118707962,0.146,0.012,0,"14","AC113370.1"
"6965",0,3.99632825647829,0.146,0.013,0,"14","AC114485.1"
"6966",0,2.33205562504431,0.157,0.025,0,"14","CAPN13"
"6967",0,2.21001339734624,0.152,0.022,0,"14","C18orf54"
"6968",0,2.14297619778424,0.184,0.055,0,"14","LINC00539"
"6969",0,2.31870824326042,0.156,0.03,0,"14","AC137494.1"
"6970",0,2.53267764608807,0.183,0.057,0,"14","CHODL"
"6971",0,2.17871163914987,0.166,0.042,0,"14","CCDC150"
"6972",0,2.71225117189534,0.167,0.045,0,"14","LINC01695"
"6973",0,2.73308201144355,0.128,0.01,0,"14","CA14"
"6974",0,2.7622296312896,0.13,0.013,0,"14","MATN1-AS1"
"6975",0,2.65740397809451,0.187,0.07,0,"14","AC103770.1"
"6976",0,2.25601983138543,0.158,0.043,0,"14","AC021127.1"
"6977",0,2.7880785135933,0.13,0.015,0,"14","AC068707.1"
"6978",0,2.47935042995082,0.133,0.019,0,"14","AC011921.1"
"6979",0,2.57269983196011,0.15,0.036,0,"14","AC006270.1"
"6980",0,2.50016210104899,0.127,0.015,0,"14","AL133244.2"
"6981",0,3.53435243721018,0.117,0.006,0,"14","LINC01222"
"6982",0,3.43684608763356,0.117,0.006,0,"14","AC026801.1"
"6983",0,2.79940965881256,0.12,0.009,0,"14","AC004925.1"
"6984",0,3.17907015774207,0.115,0.007,0,"14","AC134669.1"
"6985",0,2.97031392281644,0.115,0.008,0,"14","LINC01978"
"6986",0,2.43396715252274,0.136,0.03,0,"14","SNHG27"
"6987",0,2.65515105382834,0.139,0.034,0,"14","LINC01099"
"6988",0,2.67840184227459,0.117,0.014,0,"14","CAPN9"
"6989",0,2.41604746115821,0.121,0.019,0,"14","AP000944.7"
"6990",0,2.79780247064331,0.106,0.01,0,"14","AL137140.1"
"6991",0,2.2819183801667,0.132,0.036,0,"14","AL138689.2"
"6992",0,2.07419592778604,0.144,0.052,0,"14","AL445524.2"
"6993",0,2.77740694015895,0.104,0.012,0,"14","GACAT3"
"6994",0,2.43836915098305,0.112,0.02,0,"14","CCNB3"
"6995",0,2.10646424020127,0.107,0.016,0,"14","AC027559.1"
"6996",0,2.10310628596014,0.114,0.024,0,"14","TMEM45A"
"6997",0,2.48025159474661,0.105,0.016,0,"14","BTBD16"
"6998",0,2.46596345472408,0.112,0.023,0,"14","AL589669.1"
"6999",0,2.02361066384866,0.104,0.016,0,"14","GIPR"
"7000",0,2.02653376608755,0.102,0.015,0,"14","DDO"
"7001",0,2.12116029089224,0.108,0.023,0,"14","RAB7B"
"7002",0,2.27168987755544,0.098,0.014,0,"14","DNAJC22"
"7003",0,2.1035333356816,0.101,0.018,0,"14","AC096677.1"
"7004",0,2.41070739500652,0.091,0.01,0,"14","AC068193.1"
"7005",0,2.07191910028651,0.105,0.025,0,"14","AL442071.2"
"7006",0,2.1091690627799,0.101,0.024,0,"14","AC020663.5"
"7007",0,2.82523039211422,0.089,0.012,0,"14","OCLN.1"
"7008",0,2.15883106980017,0.092,0.017,0,"14","FZD5"
"7009",0,2.09795355959915,0.089,0.015,0,"14","AC093330.1"
"7010",0,2.2680430866523,0.094,0.021,0,"14","AC104383.1"
"7011",0,3.53116931595355,0.076,0.004,0,"14","AL162391.2"
"7012",0,2.4408423841207,0.088,0.017,0,"14","LMF1-AS1"
"7013",0,2.34586546255785,0.084,0.014,0,"14","AC023283.1"
"7014",0,2.52966163888086,0.082,0.013,0,"14","AC093433.2"
"7015",0,2.39764517941809,0.077,0.008,0,"14","AL589787.2"
"7016",0,2.53681393188728,0.08,0.012,0,"14","PLCH2"
"7017",0,2.35013656645359,0.087,0.019,0,"14","GTF2H2B"
"7018",0,2.60959585071878,0.075,0.007,0,"14","DMRT2"
"7019",0,2.09120822742374,0.083,0.016,0,"14","AL139289.1"
"7020",0,2.32947203832848,0.087,0.02,0,"14","SRCIN1.1"
"7021",0,2.2255979916522,0.082,0.016,0,"14","TSPAN8"
"7022",0,2.84293396759207,0.07,0.005,0,"14","AC108721.1"
"7023",0,2.61422584178159,0.078,0.014,0,"14","AC093791.2"
"7024",0,2.87618442579308,0.069,0.005,0,"14","AC041005.1"
"7025",0,2.09076068365408,0.071,0.007,0,"14","EVI2B"
"7026",0,3.24116257772531,0.074,0.012,0,"14","AP000820.2"
"7027",0,2.4632333308435,0.074,0.013,0,"14","AP000477.3"
"7028",0,2.67764803382693,0.068,0.008,0,"14","AC013442.2"
"7029",0,2.31876272446874,0.069,0.009,0,"14","KCNJ2-AS1"
"7030",0,2.67742870106914,0.067,0.008,0,"14","AC092881.2"
"7031",0,2.57258240793691,0.065,0.006,0,"14","NGFR"
"7032",0,3.38921302669056,0.063,0.004,0,"14","LINC01549"
"7033",0,2.43885031735015,0.067,0.009,0,"14","TMEM171"
"7034",0,2.06387744842487,0.067,0.009,0,"14","DEPDC7"
"7035",0,2.13391574120962,0.069,0.012,0,"14","AC098820.2"
"7036",0,2.85523793212622,0.063,0.006,0,"14","AC091214.1"
"7037",0,3.7285271614275,0.06,0.003,0,"14","AL135784.1"
"7038",0,2.16749241431777,0.068,0.012,0,"14","AC011825.3"
"7039",0,2.73918948616964,0.073,0.017,0,"14","AC136489.1"
"7040",0,2.81627696770345,0.06,0.005,0,"14","SLC7A14-AS1"
"7041",0,2.05337010345376,0.065,0.011,0,"14","AC270153.1"
"7042",0,2.49448884325039,0.057,0.004,0,"14","AC103831.1"
"7043",0,3.58795439901548,0.055,0.002,0,"14","HOXD1"
"7044",0,2.40582080031544,0.061,0.008,0,"14","HMSD"
"7045",0,2.98624380242106,0.058,0.006,0,"14","AL513128.3"
"7046",0,2.21293036616394,0.063,0.011,0,"14","AKAP3"
"7047",0,2.12694194331082,0.061,0.009,0,"14","AL139330.1"
"7048",0,2.00799944988914,0.062,0.01,0,"14","LACC1"
"7049",0,2.24909426057257,0.061,0.01,0,"14","BOK-AS1"
"7050",0,2.83944804160418,0.055,0.005,0,"14","AC008060.1"
"7051",0,2.13011374146623,0.062,0.012,0,"14","AL392086.1"
"7052",0,2.06534110473425,0.059,0.009,0,"14","AC012494.2"
"7053",0,4.25609121613268,0.051,0.004,0,"14","AC009623.1"
"7054",0,2.3684615062602,0.053,0.006,0,"14","AP001830.1"
"7055",0,3.40602932437651,0.048,0.002,0,"14","AC073342.2"
"7056",0,3.7490900165086,0.048,0.004,0,"14","DMRTA2"
"7057",0,2.61326766509187,0.048,0.004,0,"14","FFAR1"
"7058",0,2.25135336999615,0.052,0.009,0,"14","AC010491.2"
